Key	Key Code	Description
Back	8	The BACKSPACE key
Tab	9	The TAB key
Enter	13	The ENTER key
ShiftKey	16	The SHIFT key
ControlKey	17	The CTRL key
Menu	18	The ALT key
Pause	19	The PAUSE key
CapsLock	20	The CAPS LOCK key
Escape	27	The ESC key
Space	32	The SPACEBAR key
PageUp	33	The PAGE UP key
PageDown	34	The PAGE DOWN key
End	35	The END key
Home	36	The HOME key
Left	37	The LEFT ARROW key
Up	38	The UP ARROW key
Right	39	The RIGHT ARROW key
Down	40	The DOWN ARROW key
Select	41	The SELECT key
Print	42	The PRINT key
Execute	43	The EXECUTE key
PrintScreen	44	The PRINT SCREEN key
Insert	45	The INS key
Delete	46	The DEL key
Help	47	The HELP key
0	48	The 0 key
1	49	The 1 key
2	50	The 2 key
3	51	The 3 key
4	52	The 4 key
5	53	The 5 key
6	54	The 6 key
7	55	The 7 key
8	56	The 8 key
9	57	The 9 key
A	65	The A key
B	66	The B key
C	67	The C key
D	68	The D key
E	69	The E key
F	70	The F key
G	71	The G key
H	72	The H key
I	73	The I key
J	74	The J key
K	75	The K key
L	76	The L key
M	77	The M key
N	78	The N key
O	79	The O key
P	80	The P key
Q	81	The Q key
R	82	The R key
S	83	The S key
T	84	The T key
U	85	The U key
V	86	The V key
W	87	The W key
X	88	The X key
Y	89	The Y key
Z	90	The Z key
LWin	91	The left Windows logo key
RWin	92	The right Windows logo key
Apps	93	The application key
Sleep	95	The computer sleep key
NumPad0	96	The 0 key on the numeric keypad
NumPad1	97	The 1 key on the numeric keypad
NumPad2	98	The 2 key on the numeric keypad
NumPad3	99	The 3 key on the numeric keypad
NumPad4	100	The 4 key on the numeric keypad
NumPad5	101	The 5 key on the numeric keypad
NumPad6	102	The 6 key on the numeric keypad
NumPad7	103	The 7 key on the numeric keypad
NumPad8	104	The 8 key on the numeric keypad
NumPad9	105	The 9 key on the numeric keypad
Multiply	106	The multiply key
Add	107	The add key
Separator	108	The separator key
Subtract	109	The subtract key
Decimal	110	The decimal key
Divide	111	The divide key
F1	112	The F1 key
F2	113	The F2 key
F3	114	The F3 key
F4	115	The F4 key
F5	116	The F5 key
F6	117	The F6 key
F7	118	The F7 key
F8	119	The F8 key
F9	120	The F9 key
F10	121	The F10 key
F11	122	The F11 key
F12	123	The F12 key
F13	124	The F13 key
F14	125	The F14 key
F15	126	The F15 key
F16	127	The F16 key
F17	128	The F17 key
F18	129	The F18 key
F19	130	The F19 key
F20	131	The F20 key
F21	132	The F21 key
F22	133	The F22 key
F23	134	The F23 key
F24	135	The F24 key
NumLock	144	The NUM LOCK key
Scroll	145	The SCROLL LOCK key
LShiftKey	160	The left SHIFT key
RShiftKey	161	The right SHIFT key
LControlKey	162	The left CTRL key
RControlKey	163	The right CTRL key
LMenu	164	The left ALT key
RMenu	165	The right ALT key
